Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Geo29-Epi.F	66.76914968376668	37.0	96.0	40.0	136608.0
Geo29-Epi.R	60.31052354181307	39.0	101.0	30.0	136608.0
Geo29-dd.F	58.375942201843834	37.0	96.0	40.0	102287.0
Geo29-dd.R	52.27252730063449	39.0	101.0	30.0	102287.0
Geo3-Epi.F	91.84040088527534	37.0	96.0	40.0	1618046.0
Geo3-Epi.R	85.44048994149666	39.0	101.0	30.0	1618046.0
Geo3-dd.F	89.64738421879582	36.0	96.0	40.0	1254140.0
Geo3-dd.R	83.78135761778678	38.0	101.0	30.0	1254140.0
Geo30-Epi.F	70.22446333381357	38.0	96.0	40.0	173525.0
Geo30-Epi.R	61.28972770494165	40.0	101.0	30.0	173525.0
Geo30-dd.F	69.863603346695	37.0	96.0	40.0	185855.0
Geo30-dd.R	60.980334131446554	39.0	101.0	30.0	185855.0
Geo32-Epi.F	75.71588878267735	39.0	96.0	40.0	216549.0
Geo32-Epi.R	65.0388595652716	40.0	101.0	30.0	216549.0
Geo32-dd.F	70.0419537468609	38.0	96.0	40.0	201889.0
Geo32-dd.R	59.55797492681622	39.0	101.0	30.0	201889.0
Geo33-Epi.F	79.81786004631273	38.0	96.0	40.0	340727.0
Geo33-Epi.R	71.98402239916413	40.0	101.0	40.0	340727.0
Geo33-dd.F	75.99939748907073	37.0	96.0	40.0	285472.0
Geo33-dd.R	68.38428987781639	39.0	101.0	30.0	285472.0
Geo34-Epi.F	82.03065831171963	41.0	96.0	40.0	472694.0
Geo34-Epi.R	76.56990711656438	42.0	101.0	40.0	472694.0
Geo34-dd.F	81.00395984188333	39.0	96.0	40.0	529144.0
Geo34-dd.R	76.97393701320708	40.0	101.0	40.0	529144.0
Geo35-Epi.F	36.6983031348864	43.0	96.0	30.0	41724.0
Geo35-Epi.R	29.94439651040169	45.0	101.0	30.0	41724.0
Geo35-dd.F	41.14214463840399	41.0	96.0	30.0	40100.0
Geo35-dd.R	36.33665835411472	42.0	101.0	30.0	40100.0
Geo4-Epi.F	91.7846968911692	37.0	96.0	40.0	1602472.0
Geo4-Epi.R	85.53732602418351	39.0	101.0	30.0	1602472.0
Geo4-dd.F	90.68744989769105	36.0	96.0	40.0	1678591.0
Geo4-dd.R	84.74100796957684	38.0	101.0	30.0	1678591.0
Geo60-Epi.F	73.7211843680075	40.0	96.0	40.0	326689.0
Geo60-Epi.R	67.00255981877763	42.0	101.0	40.0	326689.0
Geo60-dd.F	69.7511623452383	39.0	96.0	40.0	287135.0
Geo60-dd.R	62.422768806079056	41.0	101.0	30.0	287135.0
Geo66-Epi.F	38.649969576226276	43.0	96.0	30.0	50947.0
Geo66-Epi.R	34.55159283176634	45.0	101.0	30.0	50947.0
Geo66-dd.F	36.35081021640351	42.0	96.0	20.0	48197.0
Geo66-dd.R	31.829781936635058	43.0	101.0	20.0	48197.0
