Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
JD002A_S131_L005_R1_001	1.1857707509881408	41.0	101.0	9.090909090909092	253.0
JD002A_S131_L005_R2_001	1.1857707509881408	42.0	101.0	9.090909090909092	253.0
JD002D_S134_L005_R1_001	1.1857707509881408	42.0	101.0	18.181818181818183	253.0
JD002D_S134_L005_R2_001	1.5810276679841877	42.0	101.0	9.090909090909092	253.0
JD002G_S137_L005_R1_001	1.1857707509881408	42.0	101.0	27.27272727272727	253.0
JD002G_S137_L005_R2_001	1.1857707509881408	43.0	101.0	18.181818181818183	253.0
JD002H_S138_L005_R1_001	0.0	43.0	101.0	18.181818181818183	253.0
JD002H_S138_L005_R2_001	0.0	44.0	101.0	18.181818181818183	253.0
JD002I_S139_L005_R1_001	0.3952569169960469	42.0	101.0	9.090909090909092	253.0
JD002I_S139_L005_R2_001	0.3952569169960469	43.0	101.0	9.090909090909092	253.0
JD002K_S141_L005_R1_001	0.3952569169960469	44.0	101.0	9.090909090909092	253.0
JD002K_S141_L005_R2_001	1.1857707509881408	44.0	101.0	18.181818181818183	253.0
JD002L_S142_L005_R1_001	0.7905138339920939	41.0	101.0	9.090909090909092	253.0
JD002L_S142_L005_R2_001	1.1857707509881408	43.0	101.0	9.090909090909092	253.0
