Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
JD002A_S131_L005_R1_001	92.61185850268552	41.0	101.0	27.27272727272727	20423408.0
JD002A_S131_L005_R2_001	89.17965950938476	41.0	101.0	27.27272727272727	20423408.0
JD002D_S134_L005_R1_001	90.33458353994234	42.0	101.0	27.27272727272727	26061808.0
JD002D_S134_L005_R2_001	86.26634155767606	43.0	101.0	27.27272727272727	26061808.0
JD002G_S137_L005_R1_001	90.14784508616607	42.0	101.0	27.27272727272727	20437435.0
JD002G_S137_L005_R2_001	87.93106115024237	43.0	101.0	36.36363636363637	20437435.0
JD002H_S138_L005_R1_001	89.24448617192631	44.0	101.0	27.27272727272727	25305179.0
JD002H_S138_L005_R2_001	83.59541976618793	45.0	101.0	27.27272727272727	25305179.0
JD002I_S139_L005_R1_001	89.30225178376077	43.0	101.0	27.27272727272727	23309730.0
JD002I_S139_L005_R2_001	85.25564077396719	44.0	101.0	36.36363636363637	23309730.0
JD002K_S141_L005_R1_001	90.811118931803	43.0	101.0	27.27272727272727	26879118.0
JD002K_S141_L005_R2_001	88.83540165910257	44.0	101.0	27.27272727272727	26879118.0
JD002L_S142_L005_R1_001	92.50589899446261	42.0	101.0	27.27272727272727	27146572.0
JD002L_S142_L005_R2_001	89.90152210004375	43.0	101.0	27.27272727272727	27146572.0
